City,State,Country,Primary Entity,Other Entities,Entity Type,"Contents/Notes (keywords, event, important names)",Content Type,Publication,Vol #,Issue #,Month,Year,ID,concat_key,Longitude,Latitude
Martinsville,IN,United States,Helaine Victoria Press Inc.,,Publishing Press,Catalog of merchandise,Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=5,Martinsville_IN_United States,-86.428328,39.4278253
Chicago,IL,United States,Metis Press,,Publishing Press,Lesbian/Feminist Literature,Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=6,Chicago_IL_United States,-87.624421,41.8755616
Chicago,IL,United States,Chicago's Women Graphics Collective,,Publishing Press,"Art posters, prints",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=5,Chicago_IL_United States,-87.624421,41.8755616
Seattle,WA,United States,Choice Centered Astrology & Tarot,,Publishing Press,Tarot and Astrology for Lesbians book and lessons with workbook,Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=8,Seattle_WA_United States,-122.33006,47.6038321
New York,NY,United States,Tower Press,,Publishing Press,"Original Women's art, Printing of lithograph posters, Artist ""Carol Clement""",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=9,New York_NY_United States,-74.006015,40.7127281
New York,NY,United States,Press Women Enterprises Ltd.,,Publishing Press,"Publishing press, posters, books, notecards, artist 'Gap Toothed Girlfriends'",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=10,New York_NY_United States,-74.006015,40.7127281
Minneapolis,MN,United States,Cleis Press,,Publishing Press,"Feminist author's, Women speaking of incest, and male violence",Advertisement,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=12,Minneapolis_MN_United States,-93.265469,44.9772995
East Lansing,MI,United States,Elsie Publishing Institute,Ambitious Amazons,Publishing Press,Coupon for donations/change of address,Donation,Lesbian Connection,,Winter Supplement,December,1982,https://www.jstor.org/stable/community.28039198?seq=13,East Lansing_MI_United States,-84.472168,42.7320307
Little River,CA,United States,Tough Dove Books,,Publishing Press,"Spring Catalog Section; an ad for specific books: Womonseed: A Vision by Sunlight and It's Time, and a tarot deck: A Poet's Tarot.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Little River_CA_United States,-123.78835,39.2707318
Denver,CO,United States,Lance Publications,Artemis OakGrove,Publishing Press,"Spring Catalog Section; Advertising Vol. I The Raging Peace and Vol. II Dreams of Vengeance both by Artemis OakGrove, includes an order form.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Denver_CO_United States,-104.98486,39.7392364
Minneapolis,MN,United States,Word Weavers,,Publishing Press,"Spring Catalog Section; Advertising: Lesbian Land; Ripening, an Almanac of Lesbian Lore and Vision, Vol. 2; MAIZE A Lesbian Country Magazine.",Advertisement,Lesbian Connection,8,6,May/June,1986,https://www.jstor.org/stable/community.28039214,Minneapolis_MN_United States,-93.265469,44.9772995
Denver,CO,United States,Lace Publications,"Diana Rivers, Lady Winston",Publishing Press,"Spring Catalog Section; Advertising The Leading Edge by Lady Winston and Journey to Zelindar by Diana Rivers; lesbian fiction, erotica, fantasy.",Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Denver_CO_United States,-104.98486,39.7392364
Little River,CA,United States,Tough Dove Books,Lesbian Bedtime Stories,Publishing Press,"Spring Catalog Section; Tough Dove asks those who can to pay more and those who can't to pay less (honor system), makes their books free to lesbian prisoners. Specifically advertising Lesbian Bedtime Stories, and It's Time both by Terry Woodrow, and A Poet's Tarot Deck by Jesse Cougar. Romance, fantasy, pull quote by Tee Corinne.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Little River_CA_United States,-123.78835,39.2707318
Austin,TX,United States,Banned Books Dept. LCS,,Publishing Press,"Spring Catalog Section; Specifically advertising The Assistance of Vice by Roslyn Dane, Lovers: Love and Sex Stories by Tee Corinne, The Contactees Die Young by Antoinette Azloakov. Romance, explicit sex, UFOs.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Austin_TX_United States,-97.7437,30.2711286
Chicago,IL,United States,Blazon Books,The Winged Dancer by Camarin Grae,Publishing Press,Spring Catalog Section;,Advertisement,Lesbian Connection,7,2,June/July,1984,https://www.jstor.org/stable/community.28039205,Chicago_IL_United States,-87.624421,41.8755616
Lebanon,NH,United States,New Victoria Publishers,Stoner McTavish Lesbian Mystery/Adventure Novel,Publishing Press,Spring Catalog Section; Lesbian mystery/adventure novel by Sarah Dreher,Advertisement,Lesbian Connection,8,1,June/July,1985,https://www.jstor.org/stable/community.28039209?seq=27,Lebanon_NH_United States,-72.251587,43.643032
Chicago,IL,United States,Metis Press,,Publishing Press,Free lesbian bookplates and publishers catalog,Advertisement,Lesbian Connection,9,6,May/June,1987,https://www.jstor.org/stable/community.28039220,Chicago_IL_United States,-87.624421,41.8755616
Pittsburgh,PA,United States,Sidewalk Revolution Press,,Publishing Press,"Seeking erotic lesbian poetry for upcoming anthology, no s/m, no previously published work, payment in contributor's copies.",Request,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Pittsburgh_PA_United States,-79.990086,40.4416941
Seattle,WA,United States,Silverleaf Press,,Publishing Press,"Seeking poems, essays and cartoon for an Anthology of Lesbian Humor.",Request,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Seattle_WA_United States,-122.33006,47.6038321
Pittsburgh,PA,United States,Sidewalk Revolution Press,Out Here Flying by Jan Hardy,Publishing Press,"Out Here Flying by Jan Hardy, lesbian poetry.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Pittsburgh_PA_United States,-79.990086,40.4416941
Los Angeles,CA,United States,Clothespin Fever Press,In A Different Light,Publishing Press,"New anthology by 29 lesbian writers, In a Different Light.",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Los Angeles_CA_United States,-118.24277,34.0536909
Evanston,IL,United States,Kinheart POSH,Lesbian Relationship Handbook,Publishing Press,Lesbian Relationship Handbook by Phyllis Athey and Mary Jo Osterman.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Evanston_IL_United States,-87.693046,42.0447388
Evanston,IL,United States,Kinheart POSH,Homophobia is A Social Disease,Publishing Press,Homophobia is a Social Disease by Mary Jo Osterman.,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Evanston_IL_United States,-87.693046,42.0447388
Tallahassee,FL,United States,Naiad Press,Gail Pass,Publishing Press,Surviving Sisters by Gail Pass.; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Tallahassee,FL,United States,Naiad Press,Nancy Tyler Glenn,Publishing Press,Clicking Stones by Nancy Tyler Glenn; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Tallahassee,FL,United States,Naiad Press,Catherine Ennis,Publishing Press,South of the Line by Catherine Ennis; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Tallahassee,FL,United States,Naiad Press,Sheila Ortiz Taylor,Publishing Press,Slow Dancing at Miss Polly's by Sheila Ortiz Taylor; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Tallahassee,FL,United States,Naiad Press,Dolores Klaich,Publishing Press,Woman plus Woman by Dolores Klaich; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Tallahassee,FL,United States,Naiad Press,Evelyn Kennedy,Publishing Press,Of Love and Glory by Evelyn Kennedy; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Tallahassee_FL_United States,-84.280933,30.4380832
Santa Cruz,CA,United States,HerBooks,Bettianne Shoney Sien,Publishing Press,Lizards/Los Padres by Bettianne Shoney Sien; Book,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Santa Cruz_CA_United States,-121.99059,37.050096
Ithaca,NY,United States,Firebrand,Beth Brant,Publishing Press,"Book; A Gathering of Spirit edited by Beth Brant,",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ithaca_NY_United States,-76.548315,42.437072
Ithaca,NY,United States,Firebrand,"Elly Bulkin, Minnie Bruce Pratt",Publishing Press,"Book; Yours in Struggle by Elly bulkin, Minnie Bruce Pratt and Barbara Smith",Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ithaca_NY_United States,-76.548315,42.437072
Phoenix,AZ,United States,Ferrari Publications,Inn Places 1989,Publishing Press,Book; Inn Places 1989 by Ferrari Publications,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Phoenix_AZ_United States,-112.07414,33.4484367
Montreal,Quebec,Canada,Lilith Publications,,Publishing Press,Guide to Gracious Lesbian Living by Lilith Publications,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Montreal_Quebec_Canada,-73.569807,45.5031824
San Francisco,CA,United States,WIM Pubs,SDiane Bogus,Publishing Press,Dyke Hands and Sutras Erotic and Lyric by SDiane Bogus,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,San Francisco_CA_United States,-122.41991,37.7790262
Watsonville,CA,United States,Paper-Mache Press,Sandra Martz,Publishing Press,When I am an Old Woman I Shall Wear Purple edited by Sandra Martz,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Watsonville_CA_United States,-121.75291,36.9092773
Ithaca,NY,United States,SUNY,Jane Gover,Publishing Press,The Positive Image by C Jane Gover,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ithaca_NY_United States,-76.548315,42.437072
Ithaca,NY,United States,SUNY,Kate H Winter,Publishing Press,The Woman in the Mountain by Kate H Winter,Advertisement,Lesbian Connection,11,6,May/June,1989,https://www.jstor.org/stable/community.28039232,Ithaca_NY_United States,-76.548315,42.437072
