"type","count"
"Massage",3
"Matching Service",1
"Mediation Consultant",1
"Medical Care",1
"Medical Practitioners",2
"Medical Practitioners / Counselors / Therapists",1
"Medical Practitioners--Including Alternative",14
"Medical Service",1
"Men's Clubs",918
"Men's Clubs,Cruising Areas",1
"Men's Services",1168
"Metaphysical Bookstore",3
"Mobile Feminist Bookstore",1
"Model Agency,Escort Service",1
"Motel",20
"Motel/Apartments ",1
"Motel/Bar",1
"Motel/Bars",5
"Motels",23
"Movie Gallery",1
"Moving and Deliveries",1
"Museum / Archives",1
"Music",2
"Music Collective",1
"Music Festival",2
"Music Producers",1
"Music Producers and Promoters",3
"Music Production",2
"Music Store",1
"N.O.W.",25
"NOW",8
"Natural Foods",1
"Newsletter",3
"Newspaper",32
"Newsstand",1
"Nightclubs",2878
"Nightclubs,Cruisy Areas",3
"Occult",2
"Occult Services",3
"Occult Shop",6
"Occult Supplies",3
"Occult, Astrology",2
"Occult/Astrology",3
"Older Lesbian Groups",4
"Open House",4
"Open Lesbian Land",1
"Organisation and Services",35
"Organization",556
"Organization ",10
"Organization and Service",111
"Organization and Services",12
"Organization,Book Store",1
"Organization,Business",1
"Organization,For review",1
"Organization,Hotline",2
"Organization,Hotlines",2
"Organization,Religious Institution",3
"Organization/Center",1
"Organization/Groups ",2
"Organizations",316
"Organizations / Groups / Services",1
"Organizations and Groups",3
"Organizations and Groups - Including Special Interests",3
"Organizations and Services",8
"Organizations,Bars/Clubs",2
"Organizations,Business",1
"Organizations,Hotel",3
"Organizations,Restaurant",1
"Organizations. ETC.",9
"Organizations/Coffehouse",2
"Other Bars--Mostly Gay Men & Mixed Clientel",8
"Other Bookshops / Videos",2
"Other Bookstores",2
"Other Centers",2
"Other Guest Houses",2
"Other Lesbian Special Interest Groups",2
"Other Services",2
"Outdoor Group",7
"Outdoor Trips",2
"Outdoor Trips for Women",1
"Overnight Accomodation",1
"PIano Tuner",1
"PIano Tuning",1
"Pamphlet & Periodoical Outlet",2
"Parents Group",1
"Penpal/Friendship Club",1
"Performance Space",1
"Personal Contact Club",2
"Personal Contacts/Housing",3
"Personal Contacts/Travel Clubs",1
"Photographers",1
"Photography",1
"Pier",4
"Poetry/Music Collective",1
"Politcal Group",1
"Political Group",12
"Political/Legislative",2
"Pool Hall",1
"Post Cards",1
"Press",1
"Printers",4
"Printing",5
"Printing Service",1
"Printing/Graphics",6
"Private Club",2
"Private Gay Resort",1
"Private Healthcare",3
"Private Parties",2
"Production Company",5
"Professional Association",3
"Professional Organizations",1
"Progressive Bookstore",2
"Projected Resort and Residential Community For Gay People",1
"Promotional Items",1
"Psychic Center",1
"Psychotherapist",1
"Public Relations",2
"Publication",732
"Publication,Book Store",8
"Publications",2858
"Publications with National Scope",1
"Publications,Cruising Areas",1
"Publications,Organization",3
"Publications/Bar Guides",3
"Publisher/Distributor",1
"Publishers",1
"Radio",1
"Radio & TV",1
"Radio & Television Programs",5
"Radio Program",45
"Radio Program & Television",2
"Radio Programs",7
"Radio Station",1
"Radio and Television",21
"Ranch",2
"Rap Lines",1
"Rape Crisis",2
"Rape Crisis / Domestic Violence",1
"Real Estate Agency ",1
"Real Estate Agent",2
"Realtors",1
"Record Shop",3
"Records/Music",2
"Recreational Retreat",2
"Religious",4
"Religious Center",1
"Religious Group",22
"Religious Groups",500
"Religious Groups and Helpline",3
"Religious Groups and Organizations",2
"Religious Institution",1459
"Religious Institution,Community Center/ Support Group",2
"Religious Institution,Community Center/Support Group",7
"Religious Institution,Hotline",3
